depth_m,gamma_ray_api,NP,PHIE,density_gcc,resistivity_ohmm,micro_resistivity_ohmm,SWE,VCL,FACIES,SW_RBB,PERM_ARI_5NN,PERM_GEO_5NN,PHIT,NTG_15_35,LOGPERM_ARI,LOGPERM_GEO,caliper_in
1883.0545,57.875,0.253944993,0.2181140035,2.2146999836,1.0544999838,1.081799984,1.0,0.1352999955,7.0,1.0,450.51638794,400.47750854,0.2550309896,1.0,2.6542489529,2.6030557156,8.5
1883.2069,59.234401703,0.2755729854,0.208367005,2.2000000477,1.0286999941,1.0670000315,1.0,0.167899996,7.0,1.0,1302.0338135,1071.8956299,0.264082998,1.0,3.1146216393,3.030151844,8.5
1883.3593,60.593799591,0.2978079915,0.208367005,2.2025001049,1.003000021,1.0520999432,1.0,0.2028000057,9.0,1.0,1316.8192139,1082.1379395,0.2629530132,1.0,3.1196832657,3.0344583988,8.5
1883.5117,62.056598663,0.2805370092,0.208367005,2.2025001049,0.9878000021,1.0417000055,1.0,0.2452999949,6.0,1.0,2043.2174072,1749.7531738,0.2629530132,1.0,3.3103189468,3.2429797649,8.5
1883.6641,63.947299957,0.2805370092,0.209006995,2.2025001049,1.0151000023,1.049399972,1.0,0.2327000052,6.0,1.0,1898.0126953,1667.1884766,0.2629530132,1.0,3.2783095837,3.2219941616,8.5
1883.8165,65.843803406,0.2805370092,0.2048809975,2.2025001049,1.0429999828,1.0572999716,1.0,0.2128999978,6.0,1.0,1577.65979,1414.8972168,0.2629530132,1.0,3.1980473995,3.150758028,8.5
1883.9689,62.056598663,0.2793349922,0.1942909956,2.2235999107,1.0694999695,1.0647000074,1.0,0.2050999999,3.0,1.0,727.77636719,672.13146973,0.2502309978,1.0,2.8619976044,2.8274540901,8.5
1884.1213,65.152297974,0.2805370092,0.1897460073,2.2362999916,1.0717999935,1.0651999712,1.0,0.2231999934,6.0,1.0,730.72625732,674.20001221,0.2427459955,1.0,2.8637542725,2.8287882805,8.5
1884.2737,61.917999268,0.2766749859,0.1897460073,2.2428998947,1.0698000193,1.0643999577,1.0,0.2221000046,6.0,1.0,736.64685059,678.78765869,0.2387810051,1.0,2.8672394753,2.8317229748,8.5
1884.4261,58.625,0.2699939907,0.1897460073,2.242399931,1.0674999952,1.0635999441,1.0,0.2148000002,6.0,1.0,,,0.2387810051,1.0,,,8.5
1884.5785,55.402301788,0.2667349875,0.1897460073,2.242399931,1.0613000393,1.0590000153,1.0,0.2087000012,9.0,1.0,,,0.2387810051,1.0,,,8.5
1884.7309,52.238300323,0.2696839869,0.1897460073,2.242399931,1.051699996,1.050999999,1.0,0.1709000021,9.0,1.0,,,0.2387810051,1.0,,,8.5
1884.8833,49.089801788,0.2696839869,0.196104005,2.242399931,1.0411000252,1.0420999527,1.0,0.1562999934,9.0,1.0,,,0.2387209982,1.0,,,8.5
1885.0357,46.804698944,0.2696839869,0.2157779932,2.2223000526,1.0238000154,1.0271999836,1.0,0.1271000057,9.0,1.0,,,0.2504369915,1.0,,,8.5
1885.1881,46.59280014,0.2696839869,0.2288890034,2.2032999992,0.9902999997,0.9977999926,1.0,0.1345999986,9.0,1.0,3122.527832,2750.1154785,0.2655929923,1.0,3.494497776,3.4393422604,8.5
1885.3405,47.834999084,0.2850469947,0.241042003,2.1760001183,0.9455999732,0.9581999779,1.0,0.1454000026,9.0,1.0,3549.0227051,3129.6809082,0.2806789875,1.0,3.5501096249,3.4955019951,8.5
1885.4929,49.053699493,0.3035959899,0.2563950121,2.1440000534,0.9010999799,0.9187999964,1.0,0.1560000032,9.0,1.0,3558.722168,3150.8640137,0.2989090085,1.0,3.5512936115,3.4984235764,8.5
1885.6453,49.974098206,0.300289005,0.2942149937,2.1006000042,0.8598999977,0.8830999732,0.9991000295,0.1055999994,9.0,0.9991000295,3582.7329102,3453.0380859,0.3230049908,1.0,3.5542268753,3.538216114,8.5
1885.7977,50.304199219,0.3101480007,0.308205992,2.0892999172,0.8253999949,0.8547999859,0.9767000079,0.0979000032,9.0,0.9767000079,2871.3393555,2647.1691895,0.329798013,1.0,3.4580826759,3.4227807522,8.5
1885.9501,50.634300232,0.3101600111,0.308205992,2.0892999172,0.7910000086,0.826300025,0.9901000261,0.0895000026,9.0,0.9901000261,2954.6218262,2690.9353027,0.329798013,1.0,3.4705097675,3.429911375,8.5
1886.1025,50.801799774,0.3219690025,0.3083580136,2.0892999172,0.7602999806,0.8003000021,1.0,0.1216999963,9.0,1.0,2586.3745117,2340.7368164,0.329798013,1.0,3.4126844406,3.3693442345,8.5
1886.2549,49.697299957,0.313692987,0.3089619875,2.0766999722,0.7594000101,0.7929000258,1.0,0.1079000011,9.0,1.0,2870.3591309,2646.2961426,0.329798013,1.0,3.457937479,3.4226412773,8.5
1886.4073,48.248001099,0.2948080003,0.308205992,2.0892999172,0.7666000128,0.7906000018,1.0,0.0791999996,9.0,1.0,2815.1726074,2526.6853027,0.329798013,1.0,3.4495172501,3.4025640488,8.5
1886.5597,46.798801422,0.2772429883,0.2982940078,2.111700058,0.7738000154,0.7882999778,1.0,0.0653999969,9.0,1.0,2270.4865723,2011.6181641,0.3161099851,1.0,3.3560929298,3.3035082817,8.5
1886.7121,44.886699677,0.2697750032,0.2821109891,2.1343998909,0.7890999913,0.7910000086,1.0,0.0754000023,7.0,1.0,3213.8911133,3206.2600098,0.3026390076,1.0,3.5070288181,3.5059964657,8.5
1886.8645,42.53319931,0.2726930082,0.2821109891,2.1554999352,0.8120999932,0.7983999848,1.0,0.0993999988,7.0,1.0,3331.9086914,3320.5527344,0.2914130092,1.0,3.5226957798,3.5212130547,8.5
1887.0169,40.117198944,0.2716310024,0.2821109891,2.1533000469,0.8361999989,0.806400001,1.0,0.0784000009,9.0,1.0,3190.7207031,3181.1318359,0.290181011,1.0,3.5038545132,3.5025451183,8.5
1887.1693,38.162101746,0.2634730041,0.2821109891,2.1533000469,0.8558999896,0.8122000098,1.0,0.0615000017,9.0,1.0,2806.1384277,2773.0734863,0.2914130092,1.0,3.4481067657,3.4429607391,8.5
1887.3217,37.759498596,0.2690300047,0.2821109891,2.1533000469,0.8607000113,0.8106999993,1.0,0.0579999983,9.0,1.0,2915.5732422,2799.0710449,0.2914130092,1.0,3.4647796154,3.4470620155,8.5
1887.4741,38.002700806,0.2690300047,0.2851040065,2.1533000469,0.8592000008,0.8061000109,1.0,0.0216000006,9.0,1.0,3483.9970703,3270.3789063,0.2909780145,1.0,3.5420911312,3.5146172047,8.5
1887.6265,38.245800018,0.2690300047,0.2877930105,2.141299963,0.8578000069,0.8015000224,1.0,0.0384999998,7.0,1.0,2748.1296387,2275.6650391,0.298289001,1.0,3.4390306473,3.3570878506,8.5
1887.7789,39.820301056,0.2690300047,0.2861880064,2.1305000782,0.8470000029,0.7930999994,1.0,0.0688999966,7.0,1.0,3034.3110352,3018.6887207,0.3049420118,1.0,3.4820485115,3.4798066616,8.5
1887.9313,42.789100647,0.2927730083,0.2874909937,2.1145000458,0.8266000152,0.7807000279,1.0,0.1015999988,7.0,1.0,3588.5793457,3574.5354004,0.315151006,1.0,3.5549225807,3.5532217026,8.5
1888.0837,45.832000732,0.3023329973,0.2894209921,2.1045000553,0.8057000041,0.7681000233,1.0,0.1150999963,7.0,1.0,3584.6647949,3455.270752,0.3207460046,1.0,3.5544536114,3.538487196,8.5
1888.2361,48.439498901,0.2995480001,0.3017610013,2.0980000496,0.7858999968,0.7566999793,1.0,0.0948999971,9.0,1.0,3303.8842773,3170.5854492,0.3248269856,1.0,3.5190296173,3.5011446476,8.5
1888.3885,49.930698395,0.3089840114,0.2923710048,2.0980000496,0.769299984,0.7486000061,1.0,0.1027999967,9.0,1.0,3046.5134277,2903.7463379,0.3248269856,1.0,3.4838085175,3.46296525,8.5
1888.5409,50.914100647,0.3122839928,0.3073630035,2.0792999268,0.7541000247,0.7419999838,1.0,0.1077999994,9.0,1.0,2781.9106445,2605.9060059,0.3366979957,1.0,3.4443440437,3.4159595966,8.5
1888.6933,51.685501099,0.3181540072,0.2987079918,2.0847001076,0.7408999801,0.7365000248,1.0,0.1279000044,9.0,1.0,2744.4804688,2567.8818359,0.3335269988,1.0,3.4384510517,3.4095640182,8.5
1888.8457,50.835899353,0.3075290024,0.2923710048,2.0980000496,0.7429999709,0.7390000224,1.0,0.0979000032,9.0,1.0,3145.0532227,3018.8146973,0.3248269856,1.0,3.4976110458,3.4798164368,8.5
1888.9981,47.566398621,0.2928690016,0.2915630043,2.1085999012,0.7680000067,0.7537000179,1.0,0.0979000032,9.0,1.0,3991.5112305,3977.7565918,0.3182109892,1.0,3.6011133194,3.5996141434,8.5
1889.1505,44.289100647,0.277572006,0.2820590138,2.1293001175,0.7929999828,0.7684000134,1.0,0.0873000026,7.0,1.0,3655.8828125,3640.7038574,0.3058019876,1.0,3.562997818,3.5611908436,8.5
1889.3029,41.175800323,0.2737500072,0.274484992,2.1438000202,0.8147000074,0.7817000151,1.0,0.0876000002,7.0,1.0,3332.0075684,3320.6479492,0.2983149886,1.0,3.5226912498,3.5212080479,8.5
1889.4553,39.253898621,0.2783710063,0.2835280001,2.1421999931,0.8119999766,0.7850000262,1.0,0.0709000006,7.0,1.0,3160.0444336,3147.2758789,0.3028239906,1.0,3.4996950626,3.4979376793,8.5
1889.6077,37.492198944,0.2776379883,0.2951099873,2.1287999153,0.8059999943,0.7870000005,1.0,0.0557000004,7.0,1.0,3062.5263672,3000.4995117,0.3102509975,1.0,3.4860882759,3.4772036076,8.5
1889.7601,35.730499268,0.2634280026,0.2994230092,2.1222999096,0.7998999953,0.7889999747,1.0,0.0403999984,7.0,1.0,2655.1013184,2520.9152832,0.3104090095,1.0,3.4240782261,3.4015755653,8.5
1889.9125,35.12279892,0.2537510097,0.2972919941,2.1438000202,0.799399972,0.7922000289,1.0,0.0412000008,7.0,1.0,2773.8193359,1829.4761963,0.3057639897,1.0,3.4430875778,3.2623252869,8.5
1890.0649,35.233898163,0.2571919858,0.2895529866,2.1449000835,0.8022000194,0.7961000204,1.0,0.0412000008,7.0,1.0,2363.3937988,1871.3927002,0.2993670106,1.0,3.373529911,3.2721447945,8.5
1890.2173,35.469200134,0.2718069851,0.2893199921,2.1551001072,0.8057000041,0.8001000285,1.0,0.0412000008,7.0,1.0,2594.9365234,2470.9162598,0.2996880114,1.0,3.4141223431,3.3928534985,8.5
1890.3697,35.820301056,0.2733359933,0.2864489853,2.1603000164,0.8130999804,0.8082000017,1.0,0.0412000008,7.0,1.0,2780.2514648,2644.6743164,0.2976419926,1.0,3.4440817833,3.4223670959,8.5
1890.5221,36.365200043,0.2667849958,0.2823570073,2.1603000164,0.8270999789,0.823300004,1.0,0.0458999984,7.0,1.0,2884.6867676,2857.5505371,0.294833988,1.0,3.4600768089,3.4559717178,8.5
1890.6745,37.012699127,0.2492540032,0.2650380135,2.182199955,0.8446000218,0.841899991,1.0,0.0515000001,7.0,1.0,2780.2514648,3865.3522949,0.2790389955,1.0,3.589325428,3.5871813297,8.5
1890.8269,38.224601746,0.2384089977,0.2484100014,2.2026998997,0.8639000058,0.8615000248,1.0,0.061999999,7.0,1.0,2780.2514648,2644.6743164,0.2652640045,1.0,3.4440817833,3.4223670959,8.5
1890.9793,41.867198944,0.2366320044,0.2279949933,2.2063999176,0.8910999894,0.8851000071,1.0,0.0935000032,7.0,1.0,2780.2514648,2644.6743164,0.2604289949,1.0,3.4440817833,3.6114721298,8.5
1891.1317,48.984401703,0.2570579946,0.2212260067,2.2093999386,0.9296000004,0.9143999815,1.0,0.1360000074,7.0,1.0,1974.6932373,1736.5897217,0.2582060099,1.0,3.2955203056,3.2397208214,8.5
1891.2841,56.109401703,0.2803519964,0.2097309977,2.2063999176,0.9681000113,0.9437000155,1.0,0.186499998,3.0,1.0,1323.6611328,1084.1209717,0.2604289949,1.0,3.1217746735,3.035077095,8.5
1891.4365,62.84180069,0.2926790118,0.1999219954,2.2088000774,1.0061999559,0.9718000293,1.0,0.2180999964,3.0,1.0,1312.7347412,1081.1779785,0.2592070103,1.0,3.1182045937,3.0339205265,8.5
1891.5889,65.054702759,0.2891179919,0.1999219954,2.2367999554,1.0410000086,0.9875000119,1.0,0.2167000026,3.0,1.0,738.67669678,680.64093018,0.2426400036,1.0,2.8684723377,2.8329401016,8.5
1891.7413,67.199203491,0.2735080123,0.1999219954,2.2509000301,1.075799942,1.003000021,1.0,0.2167000026,3.0,1.0,527.03283691,1081.1779785,0.2339999974,1.0,3.1182045937,3.0339205265,8.5
1891.8937,62.84180069,0.2820990086,0.1999219954,2.2453000546,1.1132999659,1.0197999477,1.0,0.2167000026,3.0,1.0,529.72479248,445.71920776,0.237480998,1.0,3.1182045937,3.0339205265,8.5
1892.0461,63.804698944,0.2876439989,0.1952099949,2.217400074,1.0791000128,0.9988999963,1.0,0.2167000026,3.0,1.0,728.6630249,672.28747559,0.2540819943,1.0,2.8624296188,2.8274760246,8.5
1892.1985,54.468799591,0.2861950099,0.2281530052,2.1823999882,1.0127999783,0.9610000253,1.0,0.1712000072,3.0,1.0,1852.2634277,1515.8533936,0.2746709883,1.0,3.267655611,3.1806008816,8.5
1892.3509,45.242198944,0.2670949996,0.2686870098,2.1508998871,0.9465000033,0.9233000278,1.0,0.0890000015,7.0,1.0,3244.3605957,2876.5744629,0.2928600013,1.0,3.511133194,3.4588725567,8.5
1892.5033,39.335899353,0.2617549896,0.2926540077,2.1284000874,0.8878999949,0.8894000053,1.0,0.0494000018,7.0,1.0,3034.5400391,3018.8728027,0.3060699999,1.0,3.4820849895,3.479837656,8.5
1892.6557,37.546901703,0.2758190036,0.3060300052,2.1043000221,0.8384000063,0.8600999713,1.0,0.0769999996,7.0,1.0,3419.5646973,3356.927002,0.3204540014,1.0,3.5339648724,3.5259230137,8.5
1892.8081,35.839801788,0.299668014,0.2926540077,2.1284000874,0.7904999852,0.831799984,1.0,0.0412999988,7.0,1.0,3348.1936035,3134.9089355,0.3060699999,1.0,3.5248198509,3.4962322712,8.5
1892.9605,35.523399353,0.3123170137,0.2926540077,2.1284000874,0.7667999864,0.8180999756,1.0,0.0386000015,7.0,1.0,2856.701416,2773.8840332,0.3060699999,1.0,3.4558997154,3.4431288242,8.5
1893.1129,39.957000732,0.3126170039,0.2926540077,2.1284000874,0.8259999752,0.8543999791,1.0,0.0769999996,7.0,1.0,3207.4926758,3167.5163574,0.3060699999,1.0,3.5061588287,3.5007193089,8.5
1893.2653,44.390598297,0.2860929966,0.261014998,2.1589000225,0.8853999972,0.8906999826,1.0,0.1154000014,7.0,1.0,3555.96875,3144.8950195,0.2923440039,1.0,3.5509231091,3.4975702763,8.5
1893.4177,48.773399353,0.2626059949,0.2213169932,2.2056999207,0.9445999861,0.9276999831,1.0,0.1444000006,9.0,1.0,3120.9692383,2748.5480957,0.2605209947,1.0,3.4943356514,3.4391493797,8.5
1893.5701,52.871101379,0.2448920012,0.2152920067,2.2241001129,1.0037000179,0.9682000279,1.0,0.1254000068,9.0,1.0,837.46942139,2748.5480957,0.2493299991,1.0,3.4558997154,3.4391493797,8.5
1893.7225,56.9375,0.2497449964,0.2119880021,2.2244000435,1.0627000332,1.0091999769,1.0,0.1370999962,9.0,1.0,449.58953857,399.75946045,0.2492029965,1.0,2.652807951,2.6017875671,8.5
1893.8749,60.071498871,0.250270009,0.2035080045,2.2332999706,1.1158000231,1.0465999842,1.0,0.1490000039,3.0,1.0,507.9022522,470.65466309,0.243956998,1.0,2.7057800293,2.6727023125,8.5
1894.0273,59.167999268,0.2508920133,0.1901540011,2.2474999428,1.1427999735,1.0686000586,1.0,0.1674000025,3.0,1.0,,,0.2356099933,1.0,,,8.5
1894.1797,55.945301056,0.2360740006,0.1901540011,2.2474999428,1.1548999548,1.0815999508,1.0,0.1504999995,7.0,1.0,,,0.2356099933,1.0,,,8.5
1894.3321,53.068401337,0.2207890004,0.1901540011,2.2474999428,1.15989995,1.0898000002,1.0,0.123999998,7.0,1.0,,,0.2356099933,1.0,,,8.5
1894.4845,51.918899536,0.2115280032,0.1798630059,2.28489995,1.1282000542,1.073300004,1.0,0.1209999993,7.0,1.0,,,0.2127130032,1.0,,,8.5
1894.6369,52.794898987,0.2232050002,0.1766089946,2.2806999683,1.0535999537,1.0278999805,1.0,0.1430999935,7.0,1.0,,,0.215436995,1.0,,,8.5
1894.7893,53.669898987,0.2410719991,0.2062799931,2.2365000248,0.9793999791,0.9828000069,1.0,0.131400004,9.0,1.0,,,0.2419330031,1.0,,,8.5
1894.9417,54.472198486,0.2625569999,0.2486699969,2.1758999825,0.9246000051,0.9501000047,1.0,0.1084000021,9.0,1.0,873.99908447,774.12237549,0.2780869901,1.0,2.9417915344,2.8890912533,8.5
